序号	单词	次数	列	行	频度
286	midst	1	4	50	0.001848
287	mighty	2	11	183	0.003697
288	militancy	1	10	47	0.001848
289	millions	1	3	31	0.001848
290	mississippi	4	11	144	0.007394
291	mobility	1	11	98	0.001848
292	molehill	1	28	8	0.001848
293	moment	1	8	14	0.001848
294	momentous	1	3	20	0.001848
295	motels	1	11	78	0.001848
296	mountain	4	20	16	0.007394
297	mountains	1	23	18	0.001848
298	mountainside	2	22	48	0.003697
299	must	7	9	34	0.012939
300	muxt	1	9	7	0.001848
301	my	5	9	10	0.009242
302	narrow	1	12	25	0.001848
303	nation	10	2	27	0.018484
304	nation's	1	6	8	0.001848
305	needed	1	8	51	0.001848
306	negro	13	3	33	0.024030
307	negro's	2	8	20	0.003697
308	neither	1	8	76	0.001848
309	never	3	11	38	0.005545
310	new	5	10	46	0.009242
311	night	1	3	55	0.001848
312	nineteen	1	8	36	0.001848
313	no	3	7	118	0.005545
314	nor	1	8	78	0.001848
315	northen	1	13	31	0.001848
316	not	15	4	10	0.027726
317	note	3	6	37	0.005545
318	nothing	1	11	156	0.001848
319	now	6	7	115	0.011091
320	nullification	1	19	28	0.001848
321	oasis	1	17	29	0.001848
322	obligation	1	7	26	0.001848
323	obvious	1	7	3	0.001848
324	ocean	1	4	53	0.001848
325	of	99	2	25	0.182994
326	off	2	7	127	0.003697
327	old	1	29	52	0.001848
328	on	5	4	42	0.009242
329	one	13	4	2	0.024030
330	only	2	11	133	0.003697
331	opportunity	1	7	71	0.001848
332	oppression	1	17	23	0.001848
333	our	17	2	26	0.031423
334	out	3	12	12	0.005545
335	overlook	1	8	9	0.001848
336	own	1	4	79	0.001848
337	palace	1	9	22	0.001848
338	pass	1	8	25	0.001848
339	pennsylvania	1	23	30	0.001848
340	people	3	7	32	0.005545
341	persecution	1	12	47	0.001848
342	physical	2	10	25	0.003697
343	pilgrim's	1	22	44	0.001848
344	place	1	9	32	0.001848
345	places	1	20	23	0.001848
346	plane	1	10	10	0.001848
347	pledge	1	11	9	0.001848
348	police	2	11	54	0.003697
349	poverty	1	4	47	0.001848
350	pray	1	21	68	0.001848
351	presence	1	10	75	0.001848
352	pride	1	22	45	0.001848
353	process	1	9	27	0.001848
354	proclamation	1	3	18	0.001848
355	prodigious	1	23	7	0.001848
356	promise	1	6	50	0.001848
357	promises	1	7	143	0.001848
358	promissory	2	6	36	0.003697
359	prosperity	1	4	56	0.001848
360	protest	1	10	21	0.001848
361	protestants	1	29	36	0.001848
362	pursuit	1	6	73	0.001848
363	quest	1	12	37	0.001848
364	quick	1	7	176	0.001848
365	r	1	8	93	0.001848
366	racial	2	7	164	0.003697
367	racists	1	19	14	0.001848
368	real	1	7	141	0.001848
369	reality	1	7	195	0.001848
370	realize	2	10	81	0.003697
371	red	1	16	10	0.001848
372	redemptive	1	12	74	0.001848
373	refuse	2	7	47	0.003697
374	remind	1	7	108	0.001848
375	republic	1	6	19	0.001848
376	rest	1	8	77	0.001848
377	returns	1	8	68	0.001848
378	revealed	1	20	36	0.001848
379	riches	1	7	91	0.001848
380	right	1	19	31	0.001848
381	righteousness	1	11	180	0.001848
382	rightful	1	9	31	0.001848
383	rights	3	6	67	0.005545
384	ring	12	22	51	0.022181
385	rise	3	7	151	0.005545
386	robbed	1	11	124	0.001848
387	rock	1	7	184	0.001848
388	rockies	1	24	7	0.001848
389	rolls	1	11	175	0.001848
390	rooted	1	14	29	0.001848
391	rough	1	20	22	0.001848
392	rude	1	8	63	0.001848
393	sacred	1	7	25	0.001848
394	sadly	1	4	23	0.001848
395	sands	1	7	177	0.001848
396	satisfied	8	11	35	0.014787
397	satisfy	1	9	46	0.001848
398	say	2	9	8	0.003697
399	score	1	3	2	0.001848
400	seared	1	3	38	0.001848
401	security	1	7	96	0.001848
402	see	1	20	41	0.001848
403	seek	1	9	44	0.001848
404	segregation	2	4	29	0.003697
